prod_codi,prod_nome,prod_url
597BR-C4-CP, MIST MON COZ DUC REMOV SIMPLICE CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/597BR-C4-CP.png
597BR-BL, MIST MON COZ DUC REMOV SIMPLICE BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/597BR-BL.png
597BR-C4-VS, MIST MON COZ DUC REMOV SIMPLICE VS,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/597BR-C4-VS.png
77969BR-BN, BICA LAV ROW COMPON BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77969BR-BN.png
77969BR-BL, BICA LAV ROW COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77969BR-BL.png
77969BR-CP, BICA LAV ROW COMPON CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77969BR-CP.png
77969BR-RGD, BICA LAV ROW COMPON RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77969BR-RGD.png
99175BR-4-CP, MIST MON COZ BICA REMOV ALEO CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/99175BR-4-CP.png
23525BR-CP, PORTA TOALHA BARRA PARALLEL 610MM CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23525BR-CP.png
23525BR-BL,PORTA TOALHA BARRA PARALLEL 610MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23525BR-BL.png
23525BR-RGD,PORTA TOALHA BARRA PARALLEL 610MM RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23525BR-RGD.png
23526BR-CP, TOALHEIRO PARALLEL CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23526BR-CP.png
23526BR-BL, TOALHEIRO PARALLEL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23526BR-BL.png
23526BR-RGD, TOALHEIRO PARALLEL RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23526BR-RGD.png
23529BR-CP, CABIDE PARALLEL CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23529BR-CP.png
